Miller Index,Shift,Atoms,Surface Area (Ų),Symmetric,Formula
"(1,0,-1)",0.2193,270,168.63,False,TiO2
"(1,0,-1)",0.2361,270,168.63,False,TiO2
"(1,0,-1)",0.2499,270,168.63,False,TiO2
"(1,0,-1)",0.2574,270,168.63,False,TiO2
"(1,0,-1)",0.2689,270,168.63,False,TiO2
"(1,0,-1)",0.2822,270,168.63,False,TiO2
"(1,0,-1)",0.2943,270,168.63,False,TiO2
"(1,0,-1)",0.3102,270,168.63,False,TiO2
"(1,0,-1)",0.3227,270,168.63,False,TiO2
"(1,0,-1)",0.3306,270,168.63,False,TiO2
"(1,-1,1)",0.0051,270,194.12,False,TiO2
"(1,-1,1)",0.0146,270,194.12,False,TiO2
"(1,-1,1)",0.0255,270,194.12,False,TiO2
"(1,-1,1)",0.0335,270,194.12,False,TiO2
"(1,-1,1)",0.0577,270,194.12,False,TiO2
"(1,-1,1)",0.0839,270,194.12,False,TiO2
"(1,-1,1)",0.1103,270,194.12,False,TiO2
"(1,-1,1)",0.1354,270,194.12,False,TiO2
"(1,-1,1)",0.1456,270,194.12,False,TiO2
"(1,-1,1)",0.16,270,194.12,False,TiO2
"(1,-1,1)",0.1734,270,194.12,False,TiO2
"(1,-1,1)",0.1855,270,194.12,False,TiO2
"(1,-1,1)",0.1992,270,194.12,False,TiO2
"(1,-1,1)",0.2101,270,194.12,False,TiO2
"(1,-1,1)",0.2197,270,194.12,False,TiO2
"(1,-1,1)",0.2289,270,194.12,False,TiO2
"(1,-1,1)",0.2375,270,194.12,False,TiO2
"(1,-1,1)",0.252,270,194.12,False,TiO2
"(1,-1,1)",0.2653,270,194.12,False,TiO2
"(1,-1,1)",0.2743,270,194.12,False,TiO2
"(1,-1,1)",0.2852,270,194.12,False,TiO2
"(1,-1,1)",0.2984,270,194.12,False,TiO2
"(1,-1,1)",0.3105,270,194.12,False,TiO2
"(1,-1,1)",0.3252,270,194.12,False,TiO2
"(1,-1,0)",0.0031,270,166.99,False,TiO2
"(1,-1,0)",0.0172,270,166.99,False,TiO2
"(1,-1,0)",0.033,270,166.99,False,TiO2
"(1,-1,0)",0.0484,270,166.99,False,TiO2
"(1,-1,0)",0.0643,270,166.99,False,TiO2
"(1,-1,0)",0.0776,270,166.99,False,TiO2
"(1,-1,0)",0.0894,270,166.99,False,TiO2
"(1,-1,0)",0.0994,270,166.99,False,TiO2
"(1,-1,0)",0.1103,270,166.99,False,TiO2
"(1,-1,0)",0.1218,270,166.99,False,TiO2
"(1,-1,0)",0.1297,270,166.99,False,TiO2
"(1,-1,0)",0.1587,270,166.99,False,TiO2
"(1,-1,0)",0.1907,270,166.99,False,TiO2
"(1,-1,0)",0.2011,270,166.99,False,TiO2
"(1,-1,0)",0.2094,270,166.99,False,TiO2
"(1,-1,0)",0.2196,270,166.99,False,TiO2
"(1,-1,0)",0.2322,270,166.99,False,TiO2
"(1,-1,0)",0.2404,270,166.99,False,TiO2
"(1,-1,0)",0.249,270,166.99,False,TiO2
"(1,-1,0)",0.2656,270,166.99,False,TiO2
"(1,-1,0)",0.2796,270,166.99,False,TiO2
"(1,-1,0)",0.2877,270,166.99,False,TiO2
"(1,-1,0)",0.2971,270,166.99,False,TiO2
"(1,-1,0)",0.3073,270,166.99,False,TiO2
"(1,-1,0)",0.3168,270,166.99,False,TiO2
"(1,-1,0)",0.3265,270,166.99,False,TiO2
"(1,-1,-1)",0.0119,270,209.37,False,TiO2
"(1,-1,-1)",0.0261,270,209.37,False,TiO2
"(1,-1,-1)",0.0404,270,209.37,False,TiO2
"(1,-1,-1)",0.0533,270,209.37,False,TiO2
"(1,-1,-1)",0.0726,270,209.37,False,TiO2
"(1,-1,-1)",0.0854,270,209.37,False,TiO2
"(1,-1,-1)",0.0939,270,209.37,False,TiO2
"(1,-1,-1)",0.1235,270,209.37,False,TiO2
"(1,-1,-1)",0.1615,270,209.37,False,TiO2
"(1,-1,-1)",0.1801,270,209.37,False,TiO2
"(1,-1,-1)",0.1958,270,209.37,False,TiO2
"(1,-1,-1)",0.2126,270,209.37,False,TiO2
"(1,-1,-1)",0.2232,270,209.37,False,TiO2
"(1,-1,-1)",0.245,270,209.37,False,TiO2
"(1,-1,-1)",0.2754,270,209.37,False,TiO2
"(1,-1,-1)",0.2948,270,209.37,False,TiO2
"(1,-1,-1)",0.3053,270,209.37,False,TiO2
"(1,-1,-1)",0.3152,270,209.37,False,TiO2
"(1,-1,-1)",0.3313,270,209.37,False,TiO2
"(0,1,1)",0.0121,270,159.27,False,TiO2
"(0,1,1)",0.0303,270,159.27,False,TiO2
"(0,1,1)",0.0406,270,159.27,False,TiO2
"(0,1,1)",0.0491,270,159.27,False,TiO2
"(0,1,1)",0.0565,270,159.27,False,TiO2
"(0,1,1)",0.0637,270,159.27,False,TiO2
"(0,1,1)",0.0729,270,159.27,False,TiO2
"(0,1,1)",0.0851,270,159.27,False,TiO2
"(0,1,1)",0.1086,270,159.27,False,TiO2
"(0,1,1)",0.1264,270,159.27,False,TiO2
"(0,1,1)",0.1383,270,159.27,False,TiO2
"(0,1,1)",0.1501,270,159.27,False,TiO2
"(0,1,1)",0.1582,270,159.27,False,TiO2
"(0,1,1)",0.1707,270,159.27,False,TiO2
"(0,1,1)",0.182,270,159.27,False,TiO2
"(0,1,1)",0.19,270,159.27,False,TiO2
"(0,1,1)",0.197,270,159.27,False,TiO2
"(0,1,1)",0.2056,270,159.27,False,TiO2
"(0,1,1)",0.2217,270,159.27,False,TiO2
"(0,1,1)",0.2368,270,159.27,False,TiO2
"(0,1,1)",0.2444,270,159.27,False,TiO2
"(0,1,1)",0.2508,270,159.27,False,TiO2
"(0,1,1)",0.258,270,159.27,False,TiO2
"(0,1,1)",0.2683,270,159.27,False,TiO2
"(0,1,1)",0.2792,270,159.27,False,TiO2
"(0,1,1)",0.2895,270,159.27,False,TiO2
"(0,1,1)",0.2974,270,159.27,False,TiO2
"(0,1,1)",0.3067,270,159.27,False,TiO2
"(0,1,1)",0.3168,270,159.27,False,TiO2
"(0,1,1)",0.3271,270,159.27,False,TiO2
"(0,1,0)",0.0062,270,110.42,False,TiO2
"(0,1,0)",0.0191,270,110.42,False,TiO2
"(0,1,0)",0.0234,270,110.42,False,TiO2
"(0,1,0)",0.0293,270,110.42,False,TiO2
"(0,1,0)",0.0373,270,110.42,False,TiO2
"(0,1,0)",0.045,270,110.42,False,TiO2
"(0,1,0)",0.0528,270,110.42,False,TiO2
"(0,1,0)",0.0615,270,110.42,False,TiO2
"(0,1,0)",0.0676,270,110.42,False,TiO2
"(0,1,0)",0.072,270,110.42,False,TiO2
"(0,1,0)",0.0765,270,110.42,False,TiO2
"(0,1,0)",0.0814,270,110.42,False,TiO2
"(0,1,0)",0.0862,270,110.42,False,TiO2
"(0,1,0)",0.0912,270,110.42,False,TiO2
"(0,1,0)",0.097,270,110.42,False,TiO2
"(0,1,0)",0.1054,270,110.42,False,TiO2
"(0,1,0)",0.1134,270,110.42,False,TiO2
"(0,1,0)",0.1186,270,110.42,False,TiO2
"(0,1,0)",0.1249,270,110.42,False,TiO2
"(0,1,0)",0.1308,270,110.42,False,TiO2
"(0,1,0)",0.1371,270,110.42,False,TiO2
"(0,1,0)",0.1439,270,110.42,False,TiO2
"(0,1,0)",0.1509,270,110.42,False,TiO2
"(0,1,0)",0.1607,270,110.42,False,TiO2
"(0,1,0)",0.171,270,110.42,False,TiO2
"(0,1,0)",0.1777,270,110.42,False,TiO2
"(0,1,0)",0.1831,270,110.42,False,TiO2
"(0,1,0)",0.1896,270,110.42,False,TiO2
"(0,1,0)",0.1966,270,110.42,False,TiO2
"(0,1,0)",0.2025,270,110.42,False,TiO2
"(0,1,0)",0.2086,270,110.42,False,TiO2
"(0,1,0)",0.2147,270,110.42,False,TiO2
"(0,1,0)",0.2228,270,110.42,False,TiO2
"(0,1,0)",0.2313,270,110.42,False,TiO2
"(0,1,0)",0.2354,270,110.42,False,TiO2
"(0,1,0)",0.2414,270,110.42,False,TiO2
"(0,1,0)",0.2478,270,110.42,False,TiO2
"(0,1,0)",0.2551,270,110.42,False,TiO2
"(0,1,0)",0.2615,270,110.42,False,TiO2
"(0,1,0)",0.2664,270,110.42,False,TiO2
"(0,1,0)",0.2727,270,110.42,False,TiO2
"(0,1,0)",0.2815,270,110.42,False,TiO2
"(0,1,0)",0.2888,270,110.42,False,TiO2
"(0,1,0)",0.2931,270,110.42,False,TiO2
"(0,1,0)",0.2977,270,110.42,False,TiO2
"(0,1,0)",0.3052,270,110.42,False,TiO2
"(0,1,0)",0.3148,270,110.42,False,TiO2
"(0,1,0)",0.3238,270,110.42,False,TiO2
"(0,1,-1)",0.0097,270,157.36,False,TiO2
"(0,1,-1)",0.0263,270,157.36,False,TiO2
"(0,1,-1)",0.0341,270,157.36,False,TiO2
"(0,1,-1)",0.0446,270,157.36,False,TiO2
"(0,1,-1)",0.0558,270,157.36,False,TiO2
"(0,1,-1)",0.0638,270,157.36,False,TiO2
"(0,1,-1)",0.0738,270,157.36,False,TiO2
"(0,1,-1)",0.0856,270,157.36,False,TiO2
"(0,1,-1)",0.0974,270,157.36,False,TiO2
"(0,1,-1)",0.1083,270,157.36,False,TiO2
"(0,1,-1)",0.1197,270,157.36,False,TiO2
"(0,1,-1)",0.1294,270,157.36,False,TiO2
"(0,1,-1)",0.1375,270,157.36,False,TiO2
"(0,1,-1)",0.1476,270,157.36,False,TiO2
"(0,1,-1)",0.1596,270,157.36,False,TiO2
"(0,1,-1)",0.1685,270,157.36,False,TiO2
"(0,1,-1)",0.1743,270,157.36,False,TiO2
"(0,1,-1)",0.1798,270,157.36,False,TiO2
"(0,1,-1)",0.1844,270,157.36,False,TiO2
"(0,1,-1)",0.1933,270,157.36,False,TiO2
"(0,1,-1)",0.2094,270,157.36,False,TiO2
"(0,1,-1)",0.2258,270,157.36,False,TiO2
"(0,1,-1)",0.2362,270,157.36,False,TiO2
"(0,1,-1)",0.2472,270,157.36,False,TiO2
"(0,1,-1)",0.2592,270,157.36,False,TiO2
"(0,1,-1)",0.2726,270,157.36,False,TiO2
"(0,1,-1)",0.2937,270,157.36,False,TiO2
"(0,1,-1)",0.3139,270,157.36,False,TiO2
"(0,1,-1)",0.3242,270,157.36,False,TiO2
"(0,1,-1)",0.329,270,157.36,False,TiO2
"(0,0,1)",0.0008,270,113.46,False,TiO2
"(0,0,1)",0.0098,270,113.46,False,TiO2
"(0,0,1)",0.0166,270,113.46,False,TiO2
"(0,0,1)",0.0269,270,113.46,False,TiO2
"(0,0,1)",0.0397,270,113.46,False,TiO2
"(0,0,1)",0.0493,270,113.46,False,TiO2
"(0,0,1)",0.06,270,113.46,False,TiO2
"(0,0,1)",0.0716,270,113.46,False,TiO2
"(0,0,1)",0.0801,270,113.46,False,TiO2
